economy,iso3c,year,region,subregion,population,independent,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,n_domains_used,n_indicators_selected,observed_indicator_points,expected_indicator_points_year,coverage_ratio,DCLO_score_confidence_weighted,model_trust_tier
Bosnia and Herzegovina,BIH,2014,Europe & Central Asia,Europe & Central Asia (excluding high income),,,0.21911191078305917,0.6370673936771315,-0.09977371132789437,1.138108713568604,0.07151599834013805,-0.9865194940563246,0.16325180183078564,6,17,15,17,0.8823529411764706,0.16325180183078564,High
Botswana,BWA,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,0.42110633880900794,0.4546853202068137,-0.287939721014685,0.7541045121651796,0.3597281473863755,-0.9052969656572754,0.13273127198256943,6,17,14,17,0.8235294117647058,0.13273127198256943,High
Brazil,BRA,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.4934284313113404,0.715857845663158,0.0007210524892397782,1.4269513872407096,-0.5737025840311625,-0.9205368265397104,0.19045321768892917,6,17,17,17,1.0,0.19045321768892917,High
British Virgin Islands,VGB,2014,Latin America & Caribbean ,,,,0.6040866715965142,0.5842973167332188,-0.09953554237285811,1.3896143052996088,-0.07257829819100164,-0.9624454727019044,0.24057316339392965,6,17,6,17,0.35294117647058826,0.24057316339392965,Low
Brunei Darussalam,BRN,2014,East Asia & Pacific,,,,0.35345535601118483,0.5237010911398052,0.04233167597570309,1.6718508887413994,0.1241920344514455,-0.8810701972793571,0.3057434748400302,6,17,14,17,0.8235294117647058,0.3057434748400302,High
Bulgaria,BGR,2014,Europe & Central Asia,,,,0.4965114318871732,0.846852382400506,0.10691215120465103,1.537550020054163,0.44211084452177046,-0.966200463407359,0.41062272777681746,6,17,14,17,0.8235294117647058,0.41062272777681746,High
Burkina Faso,BFA,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.3355596054327996,-0.3700749671492807,-0.6485525893558745,0.38681984753794313,-0.2379614789590936,-1.3194981661900023,-0.42080449325818453,6,17,15,17,0.8823529411764706,-0.42080449325818453,High
Burundi,BDI,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.6109788278532576,-0.1384194611833652,-0.6903387057565751,-0.2650693805953209,-0.0833031700821395,-1.0686953699859352,-0.4761341525760989,6,17,14,17,0.8235294117647058,-0.4761341525760989,High
Cabo Verde,CPV,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,0.2231242807502751,0.46424087289043703,-0.138012363819371,1.0965079493965866,0.06181766866128069,-0.9173763474603284,0.13171701006981332,6,17,14,17,0.8235294117647058,0.13171701006981332,High
Cambodia,KHM,2014,East Asia & Pacific,East Asia & Pacific (excluding high income),,,0.12005186748807228,0.49904616563326815,-0.5170206501350701,0.10301109934324411,0.42739447766381744,-0.9490338063248792,-0.052758474388591214,6,17,13,17,0.7647058823529411,-0.052758474388591214,Medium
